#,term,status,topic,subtopic,n_words,n_patents,tfidf,score,variants,patents
,fixed voltage,rejected,,,2,1,5.011,13.0,fixed voltage,US20060071209A1-20060406
,reactive flow,rejected,,,2,1,5.011,13.0,reactive flow,US20060127706A1-20060615
,adhesive property,rejected,,,2,1,5.011,12.9,adhesive properties,US20160172678A1-20160616
,silicon-based element,rejected,,,2,1,5.011,12.9,silicon-based elements,US20160248088A1-20160825
,corrected current,rejected,,,2,1,5.011,12.9,corrected current,US20060093877A1-20060504
,initial performance,rejected,,,2,1,10.021,12.8,initial performance,US20160190602A1-20160630
,recess portion,rejected,,,2,1,5.011,12.8,recess portion,US20160240827A1-20160818
,vertical portion,rejected,,,2,1,5.011,12.8,vertical portion,US20070231687A1-20071004
,hydrophobic surface,rejected,,,2,1,5.011,12.8,hydrophobic surfaces,US20060093735A1-20060504
,peripheral edge,rejected,,,2,1,5.011,12.7,peripheral edge,US20160141568A1-20160519
,isovalent metal,rejected,,,2,1,5.011,12.7,isovalent metals,US20160126539A1-20160505
,metals chosen,rejected,,,2,1,5.011,12.7,metals chosen,US20160126539A1-20160505
,total number,rejected,,,2,1,5.011,12.7,total number,US20160172673A1-20160616
,screen section,rejected,,,2,1,15.032,12.7,screen sections,US20060035128A1-20060216
,storage device component,rejected,,,3,1,10.021,12.6,storage device components,US20160226070A1-20160804
,electrochemical fuel cell element,rejected,,,4,1,5.011,12.6,electrochemical fuel cell elements,US20060046125A1-20060302
,heat exchange,rejected,,,2,1,5.011,12.6,heat exchange,US20160211562A1-20160721
,individual fuel cell,rejected,,,3,1,5.011,12.6,individual fuel cells,US20160204461A1-20160714
,ambient temperature,rejected,,,2,1,5.011,12.6,ambient temperature,US20060105214A1-20060518
,peripheral speed,rejected,,,2,1,5.011,12.6,peripheral speed,US20160211504A1-20160721
,terminal surface side,rejected,,,3,1,5.011,12.6,terminal surface side,US20160240835A1-20160818
,excess air,rejected,,,2,1,10.021,12.6,excess air,US20060110634A1-20060525
,gas-permeable housing,rejected,,,2,1,5.011,12.6,gas-permeable housing,US20160204491A1-20160714
,biosensors device,rejected,,,2,1,5.011,12.6,biosensors devices,US20160301084A1-20161013
,diffusion segment,rejected,,,2,1,5.011,12.6,diffusion segments,US20060134469A1-20060622
,simple process,rejected,,,2,1,5.011,12.6,simple process,US20170005341A1-20170105
,pressure differential,rejected,,,2,1,5.011,12.6,pressure differential,US20160164120A1-20160609
,stirred mixture,rejected,,,2,1,5.011,12.5,stirred mixture,US20160211504A1-20160721
,system compressor,rejected,,,2,1,5.011,12.5,system compressor,US20060105209A1-20060518
,bridge member,rejected,,,2,1,10.021,12.5,bridge member,US20060035133A1-20060216
,receiving container,rejected,,,2,1,5.011,12.5,receiving container,US20060068260A1-20060330
,cathode bone,rejected,,,2,1,5.011,12.5,cathode bone,US20160204444A1-20160714
,shell part,rejected,,,2,1,5.011,12.5,shell part,US20160211515A1-20160721
,electricity distribution,rejected,,,2,1,5.011,12.4,electricity distribution,US20060088739A1-20060427
,electronic apparatus,rejected,,,2,1,5.011,12.4,electronic apparatus,US20160172657A1-20160616
,liquid electrolyte side,rejected,,,3,1,5.011,12.4,liquid electrolyte side,US20160164120A1-20160609
,connecting element,rejected,,,2,1,5.011,12.4,connecting element,US20160218378A1-20160728
,power specification,rejected,,,2,1,5.011,12.4,power specification,US20170005377A1-20170105
,ionic communication,rejected,,,2,1,5.011,12.3,ionic communication,US20060029850A1-20060209
,tool body,rejected,,,2,1,5.011,12.3,tool body,US20160226044A1-20160804
,carbon material compound,rejected,,,3,1,5.011,12.3,carbon material compound,US20060002844A1-20060105
,inner chamber,rejected,,,2,1,10.021,12.3,inner chamber,US20160218378A1-20160728
,anion part,rejected,,,2,1,5.011,12.2,anion part,US20060014066A1-20060119
,connecting part,rejected,,,2,1,5.011,12.2,connecting parts,US20060141349A1-20060629
,connector part,rejected,,,2,1,10.021,12.2,connector parts,US20060141349A1-20060629
,downstream portion,rejected,,,2,1,5.011,12.2,downstream portion,US20160164111A1-20160609
,enclosure wall,rejected,,,2,1,5.011,12.2,enclosure wall,US20170214013A1-20170727
,protrusion portion,rejected,,,2,1,5.011,12.2,protrusion portion,US20160240827A1-20160818
,flat surface,rejected,,,2,1,5.011,12.2,flat surface,US20060046113A1-20060302
,fine particle,rejected,,,2,1,5.011,12.2,fine particles,US20160211504A1-20160721
,catalyst make,rejected,,,2,1,5.011,12.2,catalyst makes,US20160190602A1-20160630
,compact fuel cell,rejected,,,3,1,5.011,12.2,compact fuel cell,US20060127706A1-20060615
,agent composition,rejected,,,2,1,10.021,12.1,agent composition,US20160141625A1-20160519
,oxidizer assembly,rejected,,,2,1,10.021,12.1,oxidizer assembly,US20060035119A1-20060216
,back side,rejected,,,2,1,5.011,12.1,back side,US20160276637A1-20160922
,constant voltage,rejected,,,2,1,10.021,12.1,constant voltage,US20170092937A1-20170330
,water condensation,rejected,,,2,1,10.021,12.0,water condensation,US20060099464A1-20060511
,surface layer part,rejected,,,3,1,5.011,12.0,surface layer part,US20160190560A1-20160630
,organic compound,rejected,,,2,1,5.011,12.0,organic compounds,US20160190637A1-20160630
,integrated structure,rejected,,,2,1,5.011,12.0,integrated structure,US20160126587A1-20160505
,resistance value,rejected,,,2,1,5.011,11.9,resistance value,US20160204397A1-20160714
,intake end,rejected,,,2,1,5.011,11.9,intake end,US20060046123A1-20060302
,hydrophilic surface,rejected,,,2,1,5.011,11.9,hydrophilic surfaces,US20060093735A1-20060504
,nonmagnetic material,rejected,,,2,1,5.011,11.9,nonmagnetic material,US20060046108A1-20060302
,insulating member,rejected,,,2,1,5.011,11.8,insulating member,US20160211494A1-20160721
,fabrication method,rejected,,,2,1,5.011,11.8,fabrication method,US20170005341A1-20170105
,discharge end,rejected,,,2,1,5.011,11.8,discharge end,US20060046123A1-20060302
,structures change,rejected,,,2,1,5.011,11.7,structures change,US20160141604A1-20160519
,electrode overlap,rejected,,,2,1,5.011,11.7,electrode overlaps,US20160218387A1-20160728
,mea surface,rejected,,,2,1,5.011,11.7,mea surfaces,US20060046124A1-20060302
,top surface,rejected,,,2,1,5.011,11.7,top surfaces,US20160172654A1-20160616
,alloy composition,rejected,,,2,1,5.011,11.7,alloy composition,US20060046144A1-20060302
,hybrid system,rejected,,,2,1,5.011,11.7,hybrid system,US20160164128A1-20160609
,adjacent contact,rejected,,,2,1,5.011,11.6,adjacent contact,US20060035128A1-20060216
,adhesion layer,rejected,,,2,1,5.011,11.6,adhesion layer,US20160276637A1-20160922
,fresh fuel,rejected,,,2,1,5.011,11.6,fresh fuel,US20060046108A1-20060302
,inner space,rejected,,,2,1,5.011,11.6,inner space,US20070231687A1-20071004
,voltage source,rejected,,,2,1,15.032,11.6,voltage source,US20060071209A1-20060406
,ionic contact,rejected,,,2,1,5.011,11.6,ionic contact,US20060078764A1-20060413
,flow distribution,rejected,,,2,1,5.011,11.5,flow distribution,US20060035133A1-20060216
,fluid channel,rejected,,,2,1,5.011,11.5,fluid channels,US20060141328A1-20060629
,single surface,rejected,,,2,1,5.011,11.5,single surface,US20060035133A1-20060216
,preconditioning method,rejected,,,2,1,5.011,11.5,preconditioning method,US20060105214A1-20060518
,external pressure,rejected,,,2,1,5.011,11.5,external pressure,US20160190657A1-20160630
,flow speed,rejected,,,2,1,5.011,11.4,flow speed,US20160226110A1-20160804
,fewer cell,rejected,,,2,1,5.011,11.4,fewer cells,US20100183906A1-20100722
,air stream,rejected,,,2,1,5.011,11.4,air stream,US20060099464A1-20060511
,temperature range,rejected,,,2,1,5.011,11.3,temperature range,US20160172673A1-20160616
,metal box,rejected,,,2,1,10.021,11.3,metal box,US20160211494A1-20160721
,side opposite,rejected,,,2,1,5.011,11.3,side opposite,US20160211561A1-20160721
,external structure,rejected,,,2,1,5.011,11.2,external structure,US20160164053A1-20160609
,negative potential,rejected,,,2,1,5.011,11.2,negative potential,US20060141306A1-20060629
,inner capacity,rejected,,,2,1,5.011,11.2,inner capacity,US20160164140A1-20160609
,contacting plate,rejected,,,2,1,5.011,11.1,contacting plate,US20160190657A1-20160630
,cathode interface,rejected,,,2,1,5.011,11.1,cathode interface,US20060068288A1-20060330
,cathode set,rejected,,,2,1,5.011,11.1,cathode sets,US20160211528A1-20160721
,supplying fuel,rejected,,,2,1,5.011,11.1,supplying fuel,US20060172171A1-20060803
,electrical voltage,rejected,,,2,1,5.011,11.1,electrical voltages,US20160218382A1-20160728
,retention device,rejected,,,2,1,5.011,11.0,retention devices,US20060172171A1-20060803
,active region,rejected,,,2,1,5.011,10.9,active region,US20060127706A1-20060615
,current path,rejected,,,2,1,5.011,10.9,current path,US20160190657A1-20160630
,lithium atom,rejected,,,2,1,5.011,10.9,lithium atoms,US20160172673A1-20160616
,adjacent plate,rejected,,,2,1,5.011,10.8,adjacent plates,US20060035133A1-20060216
,fuel cell control,rejected,,,3,1,5.011,10.7,fuel cell control,US20060093877A1-20060504
,high voltage,rejected,,,2,1,5.011,10.7,high voltage,US20060105214A1-20060518
,power section,rejected,,,2,1,5.011,10.7,power section,US20060099464A1-20060511
,electrochemical cell system,rejected,,,3,1,5.011,10.7,electrochemical cell system,US20170207470A1-20170720
,flexible material,rejected,,,2,1,5.011,10.6,flexible material,US20060141328A1-20060629
,remaining electrode,rejected,,,2,1,5.011,10.6,remaining electrodes,US20060068260A1-20060330
,adhesive layer,rejected,,,2,1,5.011,10.5,adhesive layer,US20160276637A1-20160922
,conductive element,rejected,,,2,1,5.011,10.5,conductive element,US20060046125A1-20060302
,gas supply,rejected,,,2,1,5.011,10.5,gas supply,US20060051632A1-20060309
,outlet device,rejected,,,2,1,5.011,10.4,outlet device,US20060172171A1-20060803
,contact pressure,rejected,,,2,1,5.011,10.4,contact pressure,US20060046125A1-20060302
,buffer material,rejected,,,2,1,30.064,10.4,buffer material | buffer materials,US20160211539A1-20160721
,surface element,rejected,,,2,1,5.011,10.3,surface elements,US20160218382A1-20160728
,metal element,rejected,,,2,1,5.011,10.2,metal elements,US20160172673A1-20160616
,outer portion,rejected,,,2,1,5.011,10.2,outer portion,US20160149214A1-20160526
,contact portion,rejected,,,2,1,5.011,10.1,contact portion,US20160190657A1-20160630
,channel layer,rejected,,,2,1,5.011,10.0,channel layers,US20060046113A1-20060302
,surface temperature,rejected,,,2,1,5.011,10.0,surface temperature,US20160233469A1-20160811
,alkaline material,rejected,,,2,1,5.011,9.7,alkaline material,US20160164087A1-20160609
,side surface,rejected,,,2,1,5.011,9.7,side surface,US20160141568A1-20160519
,battery performance,rejected,,,2,1,5.011,9.6,battery performance,US20160248093A1-20160825
,conductive plate,rejected,,,2,1,5.011,9.5,conductive plate,US20160218382A1-20160728
,layer contact,rejected,,,2,1,5.011,9.5,layer contacts,US20060141328A1-20060629
,gas flow,rejected,,,2,1,5.011,9.5,gas flow,US20060035119A1-20060216
,porous material,rejected,,,2,1,5.011,9.3,porous material,US20160156053A1-20160602
,electrodes electrode,rejected,,,2,1,5.011,7.4,electrodes electrodes,US20160301084A1-20161013
,isolating assembly,rejected,,,2,1,5.011,0.0,isolating assembly,US20060141306A1-20060629
